label,breed
0,Alambadi
1,Amritmahal
2,Ayrshire
3,Banni
4,Bargur
5,Brown_Swiss
6,Dangi
7,Deoni
8,Gir
9,Guernsey
10,Hallikar
11,Hariana
12,Himachali Pahari
13,Holstein_Friesian
14,Jaffrabadi
15,Jersey
16,Kangayam
17,Kankrej
18,Kenkatha
19,Khariar
20,Khillari
21,Konkan Kapila
22,Kosali
23,Krishna_Valley
24,Ladakhi
25,Lakhimi
26,Malnad_gidda
27,Mewati
28,Murrah
29,Nagpuri
30,Nari
31,Ongole
32,Poda Thirupu
33,Pulikulam
34,Punganur
35,Purnea
36,Rathi
37,Red kandhari
38,Red_Dane
39,Red_Sindhi
40,Sahiwal
41,Shweta Kapila
42,Tharparkar
43,Toda
44,Umblachery
45,Vechur
46,bachaur
47,badri
48,bhelai
49,dagri
50,gangatari
51,gaolao
52,ghumsari
53,kherigarh
54,malvi
55,motu
56,nagori
57,ponwar
58,siri
59,thutho
