image_path,breed,label
cattle\Murrah\Murrah_61.jpg,Murrah,28
cattle\Kangayam\image_259x194_50.jpg,Kangayam,16
cattle\Ayrshire\Ayrshire_110.jpg,Ayrshire,2
cattle\Murrah\Murrah_178.jpg,Murrah,28
cattle\Red_Sindhi\Red_Sindhi_27.jpg,Red_Sindhi,39
cattle\Tharparkar\Tharparkar_22.jpg,Tharparkar,42
cattle\Hariana\Hariana_58.jpg,Hariana,11
cattle\Red_Dane\Red_Dane_17.jpg,Red_Dane,38
cattle\Red_Sindhi\Red_Sindhi_107.jpg,Red_Sindhi,39
cattle\Nagpuri\Nagpuri_116.jpg,Nagpuri,29
cattle\Krishna_Valley\Krishna_Valley_78.jpg,Krishna_Valley,23
cattle\Holstein_Friesian\Holstein_Friesian_258.jpg,Holstein_Friesian,13
cattle\Amritmahal\Amritmahal_63.jpg,Amritmahal,1
cattle\Gir\Gir_342.png,Gir,8
cattle\Mewati\image_259x194_15 (3).jpg,Mewati,27
cattle\Tharparkar\Tharparkar_152.png,Tharparkar,42
cattle\siri\image_275x183_39.jpg,siri,58
cattle\Umblachery\image_168x300_29.jpg,Umblachery,44
cattle\Ladakhi\image_262x192_3.jpg,Ladakhi,24
cattle\Dangi\image_259x194_10.jpg,Dangi,6
cattle\Mewati\image_260x194_4.jpg,Mewati,27
cattle\Tharparkar\Tharparkar_167.jpg,Tharparkar,42
cattle\Murrah\Murrah_11.jpg,Murrah,28
cattle\Kangayam\Kangayam_10.jpg,Kangayam,16
cattle\Amritmahal\Amritmahal_43.png,Amritmahal,1
cattle\Red_Dane\Red_Dane_67.jpg,Red_Dane,38
cattle\Kangayam\Kangayam_83.jpg,Kangayam,16
cattle\siri\image_205x179_65.jpg,siri,58
cattle\Ayrshire\Ayrshire_153.jpg,Ayrshire,2
cattle\ghumsari\Department_of_animal_husbandry_and_dairying.jpg,ghumsari,52
cattle\Rathi\Screenshot (956).png,Rathi,36
cattle\Brown_Swiss\Brown_Swiss_189.jpg,Brown_Swiss,5
cattle\Banni\00000026.jpg,Banni,3
cattle\Gir\Gir_285.jpg,Gir,8
cattle\Mewati\image_259x194_5.jpg,Mewati,27
cattle\Nari\image_250x201_34.jpg,Nari,30
cattle\Rathi\00000382.jpg,Rathi,36
cattle\Alambadi\Alambadi_31.png,Alambadi,0
cattle\malvi\image_225x225_10.jpg,malvi,54
cattle\kherigarh\image_259x194_9 (2).jpg,kherigarh,53
cattle\Deoni\Deoni_52.png,Deoni,7
cattle\malvi\image_272x177_60.jpg,malvi,54
cattle\Guernsey\Guernsey_81.jpg,Guernsey,9
cattle\Jersey\Jersey_175.jpg,Jersey,15
cattle\Brown_Swiss\Brown_Swiss_68.jpg,Brown_Swiss,5
cattle\Hariana\Hariana_40.png,Hariana,11
cattle\Khillari\Khillari_11.jpg,Khillari,20
cattle\Nari\image_251x201_24.jpg,Nari,30
cattle\Nari\image_266x189_53.jpg,Nari,30
cattle\Lakhimi\image_259x194_11 (2).jpg,Lakhimi,25
cattle\bachaur\Indian_Zebu_Cattle_Breeds.jpg,bachaur,46
cattle\Red_Dane\Red_Dane_104.jpg,Red_Dane,38
cattle\Poda Thirupu\image_168x300_7.jpg,Poda Thirupu,32
cattle\ponwar\image_300x168_47.jpg,ponwar,57
cattle\Alambadi\Alambadi_24.png,Alambadi,0
cattle\Hallikar\Hallikar_157.jpg,Hallikar,10
cattle\Jaffrabadi\Jaffrabadi_17.png,Jaffrabadi,14
cattle\Gir\Gir_268.jpg,Gir,8
cattle\Nagpuri\Nagpuri_31.jpg,Nagpuri,29
